JobTitle,Company,Location,Salary,PostDate,DateRetrieved,Summary,JobUrl
Data Scientist,Noom US,"New York, NY",,2 days ago,2020-11-28,"We offer a generous budget for personal development expenses like training courses, conferences, and books.
You'll get three weeks' paid vacation and a flexible…",https://www.indeed.com/rc/clk?jk=1c4380354c6d3589&fccid=17f7c591b33e9dc5&vjs=3
Data/Financial Scientist,Practice Paradigm,"New York, NY",,1 day ago,2020-11-28,As a data scientist you will be responsible for analyzing “Big Data” and then creating actionable items to help drive a successful marketing for our partners.,https://www.indeed.com/rc/clk?jk=d2e3a4933088f706&fccid=b182cbe2310ccfbe&vjs=3
Data Scientist,CVS Health,"New York, NY",,2 days ago,2020-11-28,"Demonstrates proficiency in several areas of data modeling, machine learning algorithms, statistical analysis, data engineering and data visualization.",https://www.indeed.com/rc/clk?jk=203cdef59be71d62&fccid=be3b11aa573faee7&vjs=3
Data Scientist Intern,The New York Times,"New York, NY",,14 days ago,2020-11-28,"In this role, you will reframe newsroom and business objectives as machine learning tasks that can deliver actionable insights, accurate predictions, and…",https://www.indeed.com/rc/clk?jk=b6e4fc84c7d476ea&fccid=1b50fcfb150b1b48&vjs=3
Data Scientist,BigMarketlytics,"New York, NY",,2 days ago,2020-11-28,"5+ years of experience with data mining, machine learning, statistical modeling tools and underlying algorithms.",https://www.indeed.com/rc/clk?jk=f4860ffb51367302&fccid=283db367a711b13d&vjs=3
Data Scientist,One Drop,"New York, NY",,2 days ago,2020-11-28,"Developing machine learning, deep learning, or dynamic simulation models for forecasting and classification.
Envisioning new and useful data-driven applications…",https://www.indeed.com/rc/clk?jk=870c95319d5193f4&fccid=824546cf0090cf64&vjs=3
Data Scientist,Tradeweb Markets LLC,"New York, NY",,1 day ago,2020-11-28,Develop scalable tools leveraging machine learning and/or deep learning models to solve real-world problems in areas such as time series predictions.,https://www.indeed.com/rc/clk?jk=4c650cd759bf38a3&fccid=368c8a280b1e8cde&vjs=3
Data Scientist,Biz2Credit Inc,"New York, NY",,30+ days ago,2020-11-28,"Work on data projects and proposals involving Biz2Credit?s financial services partners worldwide (banks, non-banks, debt investors, equity investors and others)…",https://www.indeed.com/rc/clk?jk=3483ac001da233ed&fccid=e571ceda55e25d27&vjs=3
Data Scientist,Robert Half,New York State,"$120,000 - $180,000 a year",30+ days ago,2020-11-28,"Robert Half Technology matches IT professionals with some of the best companies on a temporary, project or full-time basis.",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CpzDdaQkua3np5pkmj49lKioZwmwxQ-yx5plwbYmV_M3ewjQriHsLZZyJVXvAg_RPuhHSIS8C-JrEREox_7uBBGE9LMawvHWc9vVX-qDktrjCztjzU3wQICAbqDSxGccQa9wQfmHxNV01XYKFOp4tkXIo-ZqwuY5ByTiUvp1BMo5p0Dycd4-qJpfiIJHUrAqZB6kFPj7ych8uqpVJwaTHZ3N6wcN5v-rzmb8MARHbeUNjg0llU4IVzmw00Fg9T7i6jwygh7-frQoGJ2zBhfm26xhxE0kLjzMHnUoi4-BUA-1P1pUHDHgqfLCoHLXVWRIvPpFEvnC1U_r0OGkIUdBejC6-LmmW0863mpf-fXcnnxA_3KZ8XDlz-TC_YQs9Yd-yGnsmBtrLfcjj5vFWGrZgZ93m9cNh4IL51yX8IPdI1c2fytgekwj44kbzFocbfwH1Czd6OsnC35SvHGiyR66wDAC6EuuViQ--yhAJ6nelhrzbRgiGLp4Nn&p=8&fvj=0&vjs=3
Data Scientist,Source Enterprises,"New York, NY",,30+ days ago,2020-11-28,"Stay current on modern trends and advances in data mining technology.
Work with our industry experts to gain unrivaled knowledge at both the strategic level …",https://www.indeed.com/rc/clk?jk=1636faa0308fd08f&fccid=1577085fc2290983&vjs=3
Junior Data Scientist,Decode_M,"New York, NY",,30+ days ago,2020-11-28,"Advance our capabilities for how statistics and machine learning should be used in analyzing digital trends, CRM data and quantitative research.",https://www.indeed.com/rc/clk?jk=148f2e5e7a652368&fccid=2721c1c2ba33c638&vjs=3
Junior Data Scientist,ViacomCBS,"New York, NY",,22 days ago,2020-11-28,"BA/BS (M.S. or Ph.D. is a plus) in statistics, computer science, social sciences, or another quantitative subject area (such as physics, computational biology,…",https://www.indeed.com/rc/clk?jk=549b343d185ed525&fccid=30cb52ad6dd37131&vjs=3
Junior Data Scientist,Viacom,"New York, NY",,22 days ago,2020-11-28,"BA/BS (M.S. or Ph.D. is a plus) in statistics, computer science, social sciences, or another quantitative subject area (such as physics, computational biology,…",https://www.indeed.com/rc/clk?jk=00b8c73d3919724e&fccid=30cb52ad6dd37131&vjs=3
